trial_id,sub_phase,algorithm,test_case_id,trial_number,random_seed,planning_success,execution_success,path_planning_time,path_execution_time,total_time,path_smoothness_msj,path_distance_raw,path_distance_optimal,path_optimality_ratio,collision_flag,num_contact_points,algorithm_specific_metadata
1,sparse,a_star,0,1,,True,True,0.0037040820000129315,2.9541666666666666,2.9578707486666795,9.400105402916727,1.1425818999303512,1.142386965684651,1.0001706376661812,False,0,"{""d_optimal"": 1.142386965684651, ""internal_plan_time"": 0.003694085000006453, ""method"": ""direct"", ""cells_expanded"": 0, ""grid_cells"": 0, ""shortcut_corners"": 2}"
2,sparse,min_jerk,0,1,,True,True,7.022200003348189e-05,2.9541666666666666,2.9542368886667,9.400105403018276,1.1425818999303512,1.142386965684651,1.0001706376661812,False,0,"{""duration"": 1.762299493117256, ""n_samples"": 423}"
3,sparse,a_star,1,2,,True,True,0.005139004000000114,4.725,4.730139004,1.4370565514665539,2.5178351015362472,2.517485950025555,1.0001386905498673,False,0,"{""d_optimal"": 2.517485950025555, ""internal_plan_time"": 0.0051322660000323594, ""method"": ""direct"", ""cells_expanded"": 0, ""grid_cells"": 0, ""shortcut_corners"": 2}"
4,sparse,min_jerk,1,2,,True,True,9.081300004254445e-05,4.725,4.725090813000042,1.4370565517654021,2.5178351015362472,2.517485950025555,1.0001386905498673,False,0,"{""duration"": 3.330621424901626, ""n_samples"": 799}"
5,sparse,a_star,2,3,,True,True,0.00460910600003217,3.808333333333333,3.8129424393333653,3.407424119852142,0.6739738832808894,0.6739155481334698,1.0000865615099417,False,0,"{""d_optimal"": 0.6739155481334698, ""internal_plan_time"": 0.004604427999993277, ""method"": ""direct"", ""cells_expanded"": 0, ""grid_cells"": 0, ""shortcut_corners"": 2}"
6,sparse,min_jerk,2,3,,True,True,7.714299999861396e-05,3.808333333333333,3.8084104763333317,3.4074241201174438,0.6739738832808894,0.6739155481334698,1.0000865615099417,False,0,"{""duration"": 2.9544532336596228, ""n_samples"": 709}"
7,sparse,a_star,3,4,,True,True,0.008650414999976874,6.641666666666667,6.6503170816666435,0.36904819823412194,1.4171881555569255,1.4169811530764778,1.0001460869680576,False,0,"{""d_optimal"": 1.4169811530764778, ""internal_plan_time"": 0.008644262000018443, ""method"": ""direct"", ""cells_expanded"": 0, ""grid_cells"": 0, ""shortcut_corners"": 2}"
8,sparse,min_jerk,3,4,,True,True,0.00010204299996985355,6.641666666666667,6.6417687096666365,0.36904819815473666,1.4171881555569255,1.4169811530764778,1.0001460869680576,False,0,"{""duration"": 5.243133188226675, ""n_samples"": 1258}"
9,sparse,a_star,4,5,,True,True,0.004630824000003031,2.5,2.504630824000003,18.28068194877752,1.5951757847523766,1.5950125051985085,1.0001023688236526,False,0,"{""d_optimal"": 1.5950125051985085, ""internal_plan_time"": 0.00462591100000509, ""method"": ""direct"", ""cells_expanded"": 0, ""grid_cells"": 0, ""shortcut_corners"": 2}"
10,sparse,min_jerk,4,5,,True,True,6.697000003441644e-05,2.5,2.5000669700000344,18.280681948214983,1.5951757847523766,1.5950125051985085,1.0001023688236526,False,0,"{""duration"": 2.1718480885005182, ""n_samples"": 521}"
