sub_phase,algorithm,n_success,path_smoothness_msj_mean,path_smoothness_msj_std,path_smoothness_msj_median,path_smoothness_msj_min,path_smoothness_msj_max,path_smoothness_msj_p25,path_smoothness_msj_p75,path_planning_time_mean,path_planning_time_std,path_planning_time_median,path_planning_time_min,path_planning_time_max,path_planning_time_p25,path_planning_time_p75,path_execution_time_mean,path_execution_time_std,path_execution_time_median,path_execution_time_min,path_execution_time_max,path_execution_time_p25,path_execution_time_p75,path_optimality_ratio_mean,path_optimality_ratio_std,path_optimality_ratio_median,path_optimality_ratio_min,path_optimality_ratio_max,path_optimality_ratio_p25,path_optimality_ratio_p75,collision_rate
sparse,a_star,4,4.509977647592462,7.302826546259807,1.1277366925972234,0.371840015048258,15.41259719012714,0.3766569155127227,5.261057424676962,0.03371301550004085,0.0162402603475916,0.0348460875001137,0.0141785139999228,0.0509813730000132,0.0241454965000116,0.04441360650014295,5.064583333333333,1.9367501535839378,5.510416666666666,2.6083333333333334,6.629166666666666,3.9677083333333334,6.607291666666667,1.000027012025875,1.4403644164827754e-05,1.0000243955724213,1.0000148704446652,1.0000443865139927,1.0000153184156786,1.0000360891826177,0.0
sparse,min_jerk,5,3.8284321818322185,6.505457538731147,1.102250318275323,0.371840015008279,15.41259719085613,0.3782625489863511,1.8772108360350064,0.00011280980006629186,3.39164157606251e-05,0.000113826000188,6.355599998641992e-05,0.0001455120000173,9.839400013333945e-05,0.0001427610000064,5.0616666666666665,1.6772875134507432,5.05,2.6083333333333334,6.629166666666666,4.420833333333333,6.6,1.000027012025875,1.4403644164827754e-05,1.0000243955724213,1.0000148704446652,1.0000443865139927,1.0000153184156786,1.0000360891826177,20.0
sparse,RRT,5,385655.0827322403,862340.8962641893,1.8772108361033617,0.3718400152018387,1928257.3737506107,0.3782625490464991,15.41259719031066,0.0976264341999467,0.05265740412516459,0.0784760229998937,0.0400365079999573,0.1715595159998884,0.0679026620000513,0.1301574619999428,5.117500000000001,1.681443349063866,5.329166666666667,2.6083333333333334,6.629166666666666,4.420833333333333,6.6,1.000027012025875,1.4403644164827754e-05,1.0000243955724213,1.0000148704446652,1.0000443865139927,1.0000153184156786,1.0000360891826177,0.0
sparse,RRT-Connect,5,748039.7485537089,1672657.6430333029,1.8772108361033617,0.3718400152018387,3740180.702857954,0.3782625490464991,15.41259719031066,0.041819891999966725,0.018680244373883624,0.039558450999948,0.0239623249999567,0.0714326149998214,0.0284179600000697,0.0457281090000378,5.191666666666667,1.7011765740542957,5.7,2.6083333333333334,6.629166666666666,4.420833333333333,6.6,1.000027012025875,1.4403644164827754e-05,1.0000243955724213,1.0000148704446652,1.0000443865139927,1.0000153184156786,1.0000360891826177,0.0
sparse,RRT*,5,109749.2535489992,245396.7068803226,1.8772108361033617,0.3718400152018387,548728.2278344053,0.3782625490464991,15.41259719031066,5.040198077000014,0.02535524853854934,5.048372731999962,5.003683676000037,5.070751959000063,5.028241190000017,5.04994082799999,5.077500000000001,1.6775234929634946,5.129166666666666,2.6083333333333334,6.629166666666666,4.420833333333333,6.6,1.000027012025875,1.4403644164827754e-05,1.0000243955724213,1.0000148704446652,1.0000443865139927,1.0000153184156786,1.0000360891826177,0.0
sparse,PRM,5,670928.5887512402,1500231.8478925074,1.8772108361033617,0.3718400152018387,3354624.9038456106,0.3782625490464991,15.41259719031066,0.03937269299999566,0.02186209736496435,0.0517495090000466,0.0108921930000178,0.0608965459998671,0.0213408039999194,0.0519844130001274,5.110833333333334,1.6804601097781389,5.295833333333333,2.6083333333333334,6.629166666666666,4.420833333333333,6.6,1.000027012025875,1.4403644164827754e-05,1.0000243955724213,1.0000148704446652,1.0000443865139927,1.0000153184156786,1.0000360891826177,0.0
sparse,APF,5,229240.01367477392,317113.20987440465,74371.37578798419,19951.854637485914,773236.3416382711,33598.46777548003,245042.02853464827,0.12021209780000386,0.047741427980609284,0.1262275379999664,0.0586631310000029,0.1745328240001527,0.0866056479999315,0.1550313479999658,5.2233333333333345,1.7074326894167422,5.404166666666667,2.675,6.7875,4.5375,6.7125,1.1236559890750422,0.14581186630083143,1.0983883076409395,0.9740460888030892,1.3238012522152007,1.063022460304532,1.15902183641145,0.0
sparse,CHOMP,5,124535.77017566205,278460.3631982949,1.877210836265364,0.3718400151311616,622660.8109677198,0.3782625490364897,15.41259719003638,0.5606839735999529,0.4454727070890354,0.3682082089999312,0.3301793890000226,1.356192147999991,0.3481265089999397,0.4007136129998798,5.1658333333333335,1.6924859469300046,5.570833333333333,2.6083333333333334,6.629166666666666,4.420833333333333,6.6,1.000027012025875,1.4403644164827754e-05,1.0000243955724213,1.0000148704446652,1.0000443865139927,1.0000153184156786,1.0000360891826177,0.0
sparse,STOMP,5,691817.9729769973,1546941.9310290096,1.8772108362406088,0.3718400150464512,3459071.824974396,0.3782625488589134,15.412597190482582,7.23602062279997,0.38684870613505384,7.003647135999927,6.902003135999848,7.743192768999961,6.970616862000043,7.56064321100007,5.134166666666667,1.684476200319982,5.4125,2.6083333333333334,6.629166666666666,4.420833333333333,6.6,1.000027012025875,1.4403644164827754e-05,1.0000243955724213,1.0000148704446652,1.0000443865139927,1.0000153184156786,1.0000360891826177,0.0
moderate,a_star,1,1.9191330561084368,,1.9191330561084368,1.9191330561084368,1.9191330561084368,1.9191330561084368,1.9191330561084368,0.0373582679999344,,0.0373582679999344,0.0373582679999344,0.0373582679999344,0.0373582679999344,0.0373582679999344,4.395833333333333,,4.395833333333333,4.395833333333333,4.395833333333333,4.395833333333333,4.395833333333333,1.0000067042467466,,1.0000067042467466,1.0000067042467466,1.0000067042467466,1.0000067042467466,1.0000067042467466,0.0
