trial_id,sub_phase,algorithm,test_case_id,trial_number,random_seed,planning_success,execution_success,path_planning_time,path_execution_time,total_time,path_smoothness_msj,path_distance_raw,path_distance_optimal,path_optimality_ratio,collision_flag,num_contact_points,algorithm_specific_metadata
1,sparse,a_star,0,1,,True,True,0.032813503999932436,6.6,6.632813503999932,0.37826254900087763,1.620613552732383,1.6205894538465846,1.0000148704446652,False,0,"{""d_optimal"": 1.6205894538465846, ""internal_plan_time"": 0.032799998999962554, ""method"": ""direct"", ""bins"": 0, ""cells_expanded"": 0, ""grid_cells"": 0, ""shortcut_corners"": 2}"
2,sparse,a_star,1,2,,False,False,105.37347185099998,,,,,,,,,"{""reason"": ""16bins: timeout at 16 bins (39055 cells, 15.0s) | 24bins: timeout at 24 bins (78765 cells, 45.1s) | 32bins: timeout at 32 bins (166162 cells, 105.2s)"", ""d_optimal"": null, ""cells_expanded"": 283982, ""levels_tried"": [16, 24, 32]}"
3,sparse,a_star,2,3,,True,True,0.04715011900020727,6.629166666666666,6.676316785666874,0.371840015048258,1.5933950647513195,1.593370418912992,1.0000154677393498,False,0,"{""d_optimal"": 1.593370418912992, ""internal_plan_time"": 0.04713760099980391, ""method"": ""direct"", ""bins"": 0, ""cells_expanded"": 0, ""grid_cells"": 0, ""shortcut_corners"": 2}"
4,sparse,a_star,3,4,,True,True,0.024070618999985527,4.420833333333333,4.444903952333319,1.8772108361935693,2.6119457762230245,2.6118298462010094,1.0000443865139927,False,0,"{""d_optimal"": 2.6118298462010094, ""internal_plan_time"": 0.024062495999942257, ""method"": ""direct"", ""bins"": 0, ""cells_expanded"": 0, ""grid_cells"": 0, ""shortcut_corners"": 2}"
5,sparse,a_star,4,5,,True,True,0.01272741999991922,2.6083333333333334,2.6210607533332526,15.41259719012714,1.3826717352053233,1.3826256614097638,1.0000333234054926,False,0,"{""d_optimal"": 1.3826256614097638, ""internal_plan_time"": 0.012720514999955412, ""method"": ""direct"", ""bins"": 0, ""cells_expanded"": 0, ""grid_cells"": 0, ""shortcut_corners"": 2}"
6,sparse,min_jerk,0,1,,True,True,0.0001314009998623078,6.6,6.600131400999862,0.37826254898635114,1.620613552732383,1.6205894538465846,1.0000148704446652,False,0,"{""duration"": 4.781693090476302, ""n_samples"": 1148}"
7,sparse,min_jerk,1,2,,True,True,0.00011412000003474532,5.05,5.050114120000035,1.102250318275323,1.9754014738140493,,nan,True,287,"{""duration"": 3.7737093374506743, ""n_samples"": 906}"
8,sparse,min_jerk,2,3,,True,True,0.00011569799994504137,6.629166666666666,6.6292823646666115,0.371840015008279,1.5933950647513195,1.593370418912992,1.0000154677393498,False,0,"{""duration"": 5.133632808512625, ""n_samples"": 1232}"
9,sparse,min_jerk,3,4,,True,True,0.00010371600001235493,4.420833333333333,4.420937049333346,1.8772108360350062,2.6119457762230245,2.6118298462010094,1.0000443865139927,False,0,"{""duration"": 3.2203593386759612, ""n_samples"": 773}"
10,sparse,min_jerk,4,5,,True,True,7.778099984534492e-05,2.6083333333333334,2.6084111143331787,15.41259719085613,1.3826717352053233,1.3826256614097638,1.0000333234054926,False,0,"{""duration"": 1.5705503656276114, ""n_samples"": 377}"
11,sparse,RRT,0,1,,True,True,0.20507454400012648,6.6,6.805074544000126,0.3782625490464991,1.620613552732383,1.6205894538465846,1.0000148704446652,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 97}"
12,sparse,RRT,1,2,,True,True,0.08316359400009787,5.816666666666666,5.899830260666764,4680008.874717136,2.3002754993937806,,nan,False,0,"{""ompl_states"": 3, ""shortcut_corners"": 3, ""dense_waypoints"": 81}"
13,sparse,RRT,2,3,,True,True,0.12284208799997032,6.629166666666666,6.752008754666637,0.3718400152018387,1.5933950647513195,1.593370418912992,1.0000154677393498,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 104}"
14,sparse,RRT,3,4,,True,True,0.13209176899999875,4.420833333333333,4.552925102333332,1.8772108361033617,2.6119457762230245,2.6118298462010094,1.0000443865139927,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 66}"
15,sparse,RRT,4,5,,True,True,0.020137046999934682,2.6083333333333334,2.628470380333268,15.41259719031066,1.3826717352053233,1.3826256614097638,1.0000333234054926,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 33}"
16,sparse,RRT-Connect,0,1,,True,True,0.061784834000036426,6.6,6.661784834000036,0.3782625490464991,1.620613552732383,1.6205894538465846,1.0000148704446652,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 97}"
17,sparse,RRT-Connect,1,2,,True,True,0.07349358000010398,5.2125,5.285993580000104,2963903.887371576,2.030361521627538,,nan,False,0,"{""ompl_states"": 3, ""shortcut_corners"": 3, ""dense_waypoints"": 77}"
18,sparse,RRT-Connect,2,3,,True,True,0.05118323700003202,6.629166666666666,6.6803499036666985,0.3718400152018387,1.5933950647513195,1.593370418912992,1.0000154677393498,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 104}"
19,sparse,RRT-Connect,3,4,,True,True,0.04709003900006792,4.420833333333333,4.467923372333401,1.8772108361033617,2.6119457762230245,2.6118298462010094,1.0000443865139927,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 66}"
